Flu Season,Month,Vax date,6 months-23 months  DOB range,6 months-23 months numerator,6 months-23 months population,2-4 years DOB range,2-4 years numerator,2-4 years population,5-8 years DOB range,5-8 years numerator,5-8 years population,9-12 years DOB range,9-12 years numerator,9-12 years population,13-17 years DOB range,13-17 years numerator,13-17 years population,18-49 years DOB range,18-49 years numerator,18-49 years population,50-64 years DOB range ,50-64 years numerator,50-64 years population,65+ years DOB range ,65+ years numerator,65+ years population,6 months to 17 years DOB range,6 months to 17 years numerator,6 months to 17 years population,All adults (+18)  DOB range ,All adults numerator (+18),All adults (+18) population,Overall (all ages) DOB range,Overall numerator (all ages),Overall (all ages) population,Report Due Date
2025-26,Jul,7/1/2025-7/31/2025,1/1/2024-7/31/2025,8500,85000,1/1/2021-12/31/2023,12400,125000,1/1/2017-12/31/2020,16900,165000,1/1/2013-12/31/2016,15100,155000,1/1/2008-12/31/2012,13200,145000,1/1/1976-12/31/2007,126000,1250000,1/1/1961-12/31/1975,85000,485000,12/31/1960,98000,425000,1/1/2008-7/31/2025,66100,675000,1/1/1976-12/31/2007,309000,2160000,7/1/2025-7/31/2025,375100,2835000,8/9/2025
2025-26,Aug,7/1/2025-8/31/2025,1/1/2024-8/31/2025,11200,85000,1/1/2021-12/31/2023,16300,125000,1/1/2017-12/31/2020,22100,165000,1/1/2013-12/31/2016,19700,155000,1/1/2008-12/31/2012,17200,145000,1/1/1976-12/31/2007,164000,1250000,1/1/1961-12/31/1975,111000,485000,12/31/1960,129000,425000,1/1/2008-8/31/2025,86500,675000,1/1/1976-12/31/2007,404000,2160000,7/1/2025-8/31/2025,490500,2835000,9/9/2025
2025-26,Sept,7/1/2025-9/30/2025,1/1/2024-9/30/2025,14800,85000,1/1/2021-12/31/2023,21500,125000,1/1/2017-12/31/2020,29200,165000,1/1/2013-12/31/2016,26000,155000,1/1/2008-12/31/2012,22800,145000,1/1/1976-12/31/2007,217000,1250000,1/1/1961-12/31/1975,147000,485000,12/31/1960,160000,425000,1/1/2008-9/30/2025,114300,675000,1/1/1976-12/31/2007,524000,2160000,7/1/2025-9/30/2025,638300,2835000,10/9/2025
2025-26,Oct,7/1/2025-10/31/2025,1/1/2024-10/31/2025,19200,85000,1/1/2021-12/31/2023,27900,125000,1/1/2017-12/31/2020,37900,165000,1/1/2013-12/31/2016,33800,155000,1/1/2008-12/31/2012,29600,145000,1/1/1976-12/31/2007,282000,1250000,1/1/1961-12/31/1975,191000,485000,12/31/1960,192000,425000,1/1/2008-10/31/2025,148400,675000,1/1/1976-12/31/2007,665000,2160000,7/1/2025-10/31/2025,813400,2835000,11/9/2025
2025-26,Nov,7/1/2025-11/30/2025,1/1/2024-11/30/2025,24300,85000,1/1/2021-12/31/2023,35400,125000,1/1/2017-12/31/2020,48100,165000,1/1/2013-12/31/2016,42900,155000,1/1/2008-12/31/2012,37500,145000,1/1/1976-12/31/2007,357000,1250000,1/1/1961-12/31/1975,242000,485000,12/31/1960,225000,425000,1/1/2008-11/30/2025,188200,675000,1/1/1976-12/31/2007,824000,2160000,7/1/2025-11/30/2025,1012200,2835000,12/9/2025
2025-26,Dec,7/1/2025-12/31/2025,1/1/2024-12/31/2025,29800,85000,1/1/2021-12/31/2023,43400,125000,1/1/2017-12/31/2020,58900,165000,1/1/2013-12/31/2016,52500,155000,1/1/2008-12/31/2012,45900,145000,1/1/1976-12/31/2007,437000,1250000,1/1/1961-12/31/1975,296000,485000,12/31/1960,259000,425000,1/1/2008-12/31/2025,230500,675000,1/1/1976-12/31/2007,992000,2160000,7/1/2025-12/31/2025,1222500,2835000,1/9/2026
2025-26,Jan,7/1/2025-1/31/2026,1/1/2024-1/31/2026,34500,85000,1/1/2021-12/31/2023,50200,125000,1/1/2017-12/31/2020,68200,165000,1/1/2013-12/31/2016,60800,155000,1/1/2008-12/31/2012,53200,145000,1/1/1976-12/31/2007,506000,1250000,1/1/1961-12/31/1975,343000,485000,12/31/1960,294000,425000,1/1/2008-1/31/2026,266900,675000,1/1/1976-12/31/2007,1143000,2160000,7/1/2025-1/31/2026,1409900,2835000,2/9/2026
2025-26,Feb,7/1/2025-2/28/2026,1/1/2024-2/28/2026,38400,85000,1/1/2021-12/31/2023,55900,125000,1/1/2017-12/31/2020,75900,165000,1/1/2013-12/31/2016,67700,155000,1/1/2008-12/31/2012,59200,145000,1/1/1976-12/31/2007,563000,1250000,1/1/1961-12/31/1975,382000,485000,12/31/1960,326000,425000,1/1/2008-2/28/2026,297100,675000,1/1/1976-12/31/2007,1271000,2160000,7/1/2025-2/28/2026,1568100,2835000,3/9/2026
2025-26,Mar,7/1/2025-3/31/2026,1/1/2024-3/31/2026,41800,85000,1/1/2021-12/31/2023,60800,125000,1/1/2017-12/31/2020,82600,165000,1/1/2013-12/31/2016,73700,155000,1/1/2008-12/31/2012,64400,145000,1/1/1976-12/31/2007,613000,1250000,1/1/1961-12/31/1975,415000,485000,12/31/1960,355000,425000,1/1/2008-3/31/2026,323300,675000,1/1/1976-12/31/2007,1383000,2160000,7/1/2025-3/31/2026,1706300,2835000,4/9/2026
2025-26,Apr,7/1/2025-4/30/2026,1/1/2024-4/30/2026,44600,85000,1/1/2021-12/31/2023,64900,125000,1/1/2017-12/31/2020,88100,165000,1/1/2013-12/31/2016,78600,155000,1/1/2008-12/31/2012,68700,145000,1/1/1976-12/31/2007,654000,1250000,1/1/1961-12/31/1975,443000,485000,12/31/1960,381000,425000,1/1/2008-4/30/2026,344900,675000,1/1/1976-12/31/2007,1478000,2160000,7/1/2025-4/30/2026,1822900,2835000,5/9/2026
