RSV Season,Month,vax_date_0-7 months,vax_date_8-19 months,vax_date_60+ years,0 months-7 months DOB range,0 months-7 months numerator,0 months-7 months population,8 months-19 months DOB range,8 months-19 months numerator,8 months-19 months population,50-59 years DOB range ,50-59 years numerator,50-59 years population,60-74 years DOB range ,60-74 years numerator,60-74 years population,75+ years DOB range ,75+ years numerator,75+ years population,60+ years DOB range ,60+ years numerator,60+ years population,Report Due Date
2025-26,Jul,4/1/2025-7/31/2025,8/1/2025-8/31/2025,6/21/2024-7/31/2025,4/1/2025-7/31/2025,5200,32000,1/31/2024-1/30/2025,3800,39000,10/1/1965-9/30/1975,9500,138000,10/1/1950-9/30/1965,20500,198000,9/30/1950,15800,105000,9/30/1965,36300,303000,8/9/2025
2025-26,Aug,4/1/2025-8/31/2025,8/1/2025-8/31/2025,6/21/2024-8/31/2025,4/1/2025-8/31/2025,6000,32000,1/31/2024-1/30/2025,4400,39000,10/1/1965-9/30/1975,10900,138000,10/1/1950-9/30/1965,23700,198000,9/30/1950,18200,105000,9/30/1965,41900,303000,9/9/2025
2025-26,Sept,4/1/2025-9/30/2025,8/1/2025-9/30/2025,6/21/2024-9/30/2025,4/1/2025-9/30/2025,6800,32000,1/31/2024-1/30/2025,5000,39000,10/1/1965-9/30/1975,12300,138000,10/1/1950-9/30/1965,26900,198000,9/30/1950,20600,105000,9/30/1965,47500,303000,10/9/2025
2025-26,Oct,4/1/2025-10/31/2025,8/1/2025-10/31/2025,6/21/2024-10/31/2025,4/1/2025-10/31/2025,7600,32000,1/31/2024-1/30/2025,5600,39000,10/1/1965-9/30/1975,13700,138000,10/1/1950-9/30/1965,30100,198000,9/30/1950,23000,105000,9/30/1965,53100,303000,11/9/2025
2025-26,Nov,4/1/2025-11/30/2025,8/1/2025-11/30/2025,6/21/2024-11/30/2025,4/1/2025-11/30/2025,8400,32000,1/31/2024-1/30/2025,6200,39000,10/1/1965-9/30/1975,15100,138000,10/1/1950-9/30/1965,33300,198000,9/30/1950,25400,105000,9/30/1965,58700,303000,12/9/2025
2025-26,Dec,4/1/2025-12/31/2025,8/1/2025-12/31/2025,6/21/2024-12/31/2025,4/1/2025-12/31/2025,9200,32000,1/31/2024-1/30/2025,6800,39000,10/1/1965-9/30/1975,16500,138000,10/1/1950-9/30/1965,36500,198000,9/30/1950,27800,105000,9/30/1965,64300,303000,1/9/2026
2025-26,Jan,4/1/2025-1/31/2026,8/1/2025-1/31/2026,6/21/2024-1/31/2026,4/1/2025-1/31/2026,9800,32000,1/31/2024-1/30/2025,7200,39000,10/1/1965-9/30/1975,17400,138000,10/1/1950-9/30/1965,38400,198000,9/30/1950,29300,105000,9/30/1965,67700,303000,2/9/2026
2025-26,Feb,4/1/2025-2/28/2026,8/1/2025-2/28/2026,6/21/2024-2/28/2026,4/1/2025-2/28/2026,10400,32000,1/31/2024-1/30/2025,7600,39000,10/1/1965-9/30/1975,18300,138000,10/1/1950-9/30/1965,40300,198000,9/30/1950,30800,105000,9/30/1965,71100,303000,3/9/2026
2025-26,Mar,4/1/2025-3/31/2026,8/1/2025-3/31/2026,6/21/2024-3/31/2026,4/1/2025-3/31/2026,11000,32000,1/31/2024-1/30/2025,8000,39000,10/1/1965-9/30/1975,19200,138000,10/1/1950-9/30/1965,42200,198000,9/30/1950,32300,105000,9/30/1965,74500,303000,4/9/2026
2025-26,Apr,4/1/2025-4/30/2026,8/1/2025-4/30/2026,6/21/2024-4/30/2026,4/1/2025-3/31/2026,11600,32000,1/31/2024-1/30/2025,8400,39000,10/1/1965-9/30/1975,20100,138000,10/1/1950-9/30/1965,44100,198000,9/30/1950,33800,105000,9/30/1965,77900,303000,5/9/2026
2025-26,May,4/1/2025-5/31/2026,8/1/2025-5/31/2026,6/21/2024-5/31/2026,4/1/2025-3/31/2026,12200,32000,1/31/2024-1/30/2025,8800,39000,10/1/1965-9/30/1975,21000,138000,10/1/1950-9/30/1965,46000,198000,9/30/1950,35300,105000,9/30/1965,81300,303000,6/9/2026
2025-26,Jun,4/1/2025-6/30/2026,8/1/2025-6/30/2026,6/21/2024-6/30/2026,4/1/2025-3/31/2026,12800,32000,1/31/2024-1/30/2025,9200,39000,10/1/1965-9/30/1975,21900,138000,10/1/1950-9/30/1965,47900,198000,9/30/1950,36800,105000,9/30/1965,84700,303000,7/9/2026
