RSV Season,Month,vax_date_0-7 months,vax_date_8-19 months,vax_date_60+ years,0 months-7 months DOB range,0 months-7 months numerator,0 months-7 months population,8 months-19 months DOB range,8 months-19 months numerator,8 months-19 months population,50-59 years DOB range ,50-59 years numerator,50-59 years population,60-74 years DOB range ,60-74 years numerator,60-74 years population,75+ years DOB range ,75+ years numerator,75+ years population,60+ years DOB range ,60+ years numerator,60+ years population,Report Due Date
2024-25,Jul,4/1/2024-7/31/2024,8/1/2024-8/31/2024,6/21/2023-7/31/2024,4/1/2024-7/31/2024,4500,28000,1/31/2023-1/30/2024,3200,35000,10/1/1964-9/30/1974,8500,125000,10/1/1949-9/30/1964,18500,180000,9/30/1949,14200,95000,9/30/1964,32700,275000,8/9/2024
2024-25,Aug,4/1/2024-8/31/2024,8/1/2024-8/31/2024,6/21/2023-8/31/2024,4/1/2024-8/31/2024,5200,28000,1/31/2023-1/30/2024,3800,35000,10/1/1964-9/30/1974,9800,125000,10/1/1949-9/30/1964,21500,180000,9/30/1949,16400,95000,9/30/1964,37900,275000,9/9/2024
2024-25,Sept,4/1/2024-9/30/2024,8/1/2024-9/30/2024,6/21/2023-9/30/2024,4/1/2024-9/30/2024,5900,28000,1/31/2023-1/30/2024,4400,35000,10/1/1964-9/30/1974,11100,125000,10/1/1949-9/30/1964,24500,180000,9/30/1949,18600,95000,9/30/1964,43100,275000,10/9/2024
2024-25,Oct,4/1/2024-10/31/2024,8/1/2024-10/31/2024,6/21/2023-10/31/2024,4/1/2024-10/31/2024,6600,28000,1/31/2023-1/30/2024,5000,35000,10/1/1964-9/30/1974,12400,125000,10/1/1949-9/30/1964,27500,180000,9/30/1949,20800,95000,9/30/1964,48300,275000,11/9/2024
2024-25,Nov,4/1/2024-11/30/2024,8/1/2024-11/30/2024,6/21/2023-11/30/2024,4/1/2024-11/30/2024,7300,28000,1/31/2023-1/30/2024,5600,35000,10/1/1964-9/30/1974,13700,125000,10/1/1949-9/30/1964,30500,180000,9/30/1949,23000,95000,9/30/1964,53500,275000,12/9/2024
2024-25,Dec,4/1/2024-12/31/2024,8/1/2024-12/31/2024,6/21/2023-12/31/2024,4/1/2024-12/31/2024,8000,28000,1/31/2023-1/30/2024,6200,35000,10/1/1964-9/30/1974,15000,125000,10/1/1949-9/30/1964,33500,180000,9/30/1949,25200,95000,9/30/1964,58700,275000,1/9/2025
2024-25,Jan,4/1/2024-1/31/2025,8/1/2024-1/31/2025,6/21/2023-1/31/2025,4/1/2024-1/31/2025,8500,28000,1/31/2023-1/30/2024,6600,35000,10/1/1964-9/30/1974,15800,125000,10/1/1949-9/30/1964,35200,180000,9/30/1949,26500,95000,9/30/1964,61700,275000,2/9/2025
2024-25,Feb,4/1/2024-2/28/2025,8/1/2024-2/28/2025,6/21/2023-2/28/2025,4/1/2024-2/28/2025,9000,28000,1/31/2023-1/30/2024,7000,35000,10/1/1964-9/30/1974,16600,125000,10/1/1949-9/30/1964,36900,180000,9/30/1949,27800,95000,9/30/1964,64700,275000,3/9/2025
2024-25,Mar,4/1/2024-3/31/2025,8/1/2024-3/31/2025,6/21/2023-3/31/2025,4/1/2024-3/31/2025,9500,28000,1/31/2023-1/30/2024,7400,35000,10/1/1964-9/30/1974,17400,125000,10/1/1949-9/30/1964,38600,180000,9/30/1949,29100,95000,9/30/1964,67700,275000,4/9/2025
2024-25,Apr,4/1/2024-4/30/2025,8/1/2024-4/30/2025,6/21/2023-4/30/2025,4/1/2024-3/31/2025,10000,28000,1/31/2023-1/30/2024,7800,35000,10/1/1964-9/30/1974,18200,125000,10/1/1949-9/30/1964,40300,180000,9/30/1949,30400,95000,9/30/1964,70700,275000,5/9/2025
2024-25,May,4/1/2024-5/31/2025,8/1/2024-5/31/2025,6/21/2023-5/31/2025,4/1/2024-3/31/2025,10500,28000,1/31/2023-1/30/2024,8200,35000,10/1/1964-9/30/1974,19000,125000,10/1/1949-9/30/1964,42000,180000,9/30/1949,31700,95000,9/30/1964,73700,275000,6/9/2025
2024-25,Jun,4/1/2024-6/30/2025,8/1/2024-6/30/2025,6/21/2023-6/30/2025,4/1/2024-3/31/2025,11000,28000,1/31/2023-1/30/2024,8600,35000,10/1/1964-9/30/1974,19800,125000,10/1/1949-9/30/1964,43700,180000,9/30/1949,33000,95000,9/30/1964,76700,275000,7/9/2025
