RSV Season,Month,vax_date_0-7 months,vax_date_8-19 months,vax_date_60+ years,0 months-7 months DOB range,0 months-7 months numerator,0 months-7 months population,8 months-19 months DOB range,8 months-19 months numerator,8 months-19 months population,50-59 years DOB range ,50-59 years numerator,50-59 years population,60-74 years DOB range ,60-74 years numerator,60-74 years population,75+ years DOB range ,75+ years numerator,75+ years population,60+ years DOB range ,60+ years numerator,60+ years population,Report Due Date
2025-26,Jul,4/1/2025-7/31/2025,8/1/2025-8/31/2025,6/21/2024-7/31/2025,4/1/2025-7/31/2025,4800,29000,1/31/2024-1/30/2025,3400,36000,10/1/1965-9/30/1975,8800,128000,10/1/1950-9/30/1965,19000,185000,9/30/1950,14600,98000,9/30/1965,33600,283000,8/9/2025
2025-26,Aug,4/1/2025-8/31/2025,8/1/2025-8/31/2025,6/21/2024-8/31/2025,4/1/2025-8/31/2025,5500,29000,1/31/2024-1/30/2025,4000,36000,10/1/1965-9/30/1975,10100,128000,10/1/1950-9/30/1965,22000,185000,9/30/1950,16800,98000,9/30/1965,38800,283000,9/9/2025
2025-26,Sept,4/1/2025-9/30/2025,8/1/2025-9/30/2025,6/21/2024-9/30/2025,4/1/2025-9/30/2025,6200,29000,1/31/2024-1/30/2025,4600,36000,10/1/1965-9/30/1975,11400,128000,10/1/1950-9/30/1965,25000,185000,9/30/1950,19000,98000,9/30/1965,44000,283000,10/9/2025
2025-26,Oct,4/1/2025-10/31/2025,8/1/2025-10/31/2025,6/21/2024-10/31/2025,4/1/2025-10/31/2025,6900,29000,1/31/2024-1/30/2025,5200,36000,10/1/1965-9/30/1975,12700,128000,10/1/1950-9/30/1965,28000,185000,9/30/1950,21200,98000,9/30/1965,49200,283000,11/9/2025
2025-26,Nov,4/1/2025-11/30/2025,8/1/2025-11/30/2025,6/21/2024-11/30/2025,4/1/2025-11/30/2025,7600,29000,1/31/2024-1/30/2025,5800,36000,10/1/1965-9/30/1975,14000,128000,10/1/1950-9/30/1965,31000,185000,9/30/1950,23400,98000,9/30/1965,54400,283000,12/9/2025
2025-26,Dec,4/1/2025-12/31/2025,8/1/2025-12/31/2025,6/21/2024-12/31/2025,4/1/2025-12/31/2025,8300,29000,1/31/2024-1/30/2025,6400,36000,10/1/1965-9/30/1975,15300,128000,10/1/1950-9/30/1965,34000,185000,9/30/1950,25600,98000,9/30/1965,59600,283000,1/9/2026
2025-26,Jan,4/1/2025-1/31/2026,8/1/2025-1/31/2026,6/21/2024-1/31/2026,4/1/2025-1/31/2026,8800,29000,1/31/2024-1/30/2025,6800,36000,10/1/1965-9/30/1975,16100,128000,10/1/1950-9/30/1965,35700,185000,9/30/1950,26900,98000,9/30/1965,62600,283000,2/9/2026
2025-26,Feb,4/1/2025-2/28/2026,8/1/2025-2/28/2026,6/21/2024-2/28/2026,4/1/2025-2/28/2026,9300,29000,1/31/2024-1/30/2025,7200,36000,10/1/1965-9/30/1975,16900,128000,10/1/1950-9/30/1965,37400,185000,9/30/1950,28200,98000,9/30/1965,65600,283000,3/9/2026
2025-26,Mar,4/1/2025-3/31/2026,8/1/2025-3/31/2026,6/21/2024-3/31/2026,4/1/2025-3/31/2026,9800,29000,1/31/2024-1/30/2025,7600,36000,10/1/1965-9/30/1975,17700,128000,10/1/1950-9/30/1965,39100,185000,9/30/1950,29500,98000,9/30/1965,68600,283000,4/9/2026
2025-26,Apr,4/1/2025-4/30/2026,8/1/2025-4/30/2026,6/21/2024-4/30/2026,4/1/2025-3/31/2026,10300,29000,1/31/2024-1/30/2025,8000,36000,10/1/1965-9/30/1975,18500,128000,10/1/1950-9/30/1965,40800,185000,9/30/1950,30800,98000,9/30/1965,71600,283000,5/9/2026
2025-26,May,4/1/2025-5/31/2026,8/1/2025-5/31/2026,6/21/2024-5/31/2026,4/1/2025-3/31/2026,10800,29000,1/31/2024-1/30/2025,8400,36000,10/1/1965-9/30/1975,19300,128000,10/1/1950-9/30/1965,42500,185000,9/30/1950,32100,98000,9/30/1965,74600,283000,6/9/2026
2025-26,Jun,4/1/2025-6/30/2026,8/1/2025-6/30/2026,6/21/2024-6/30/2026,4/1/2025-3/31/2026,11300,29000,1/31/2024-1/30/2025,8800,36000,10/1/1965-9/30/1975,20100,128000,10/1/1950-9/30/1965,44200,185000,9/30/1950,33400,98000,9/30/1965,77600,283000,7/9/2026
